stim,color_var,size_var,len_var,color_simp,size_simp,len_simp,color_discrim_net,size_discrim_net,len_discrim_net,total_objs
3,2,1,2,0.5029585798816568,1.0,0.8579881656804735,6,0,1,13
4,5,1,2,0.24260355029585803,1.0,0.8579881656804735,8,0,1,13
5,2,1,2,0.53125,1.0,0.8828125,10,0,1,16
6,6,1,1,0.16666666666666669,1.0,1.0,5,0,0,6
7,1,3,1,1.0,0.3333333333333333,1.0,0,2,0,3
8,1,1,3,1.0,1.0,0.3333333333333333,0,0,2,3
9,1,1,1,1.0,1.0,1.0,0,0,0,6
10,1,1,1,1.0,1.0,1.0,0,0,0,5
11,2,1,1,0.7222222222222223,1.0,1.0,1,0,0,6
12,2,1,1,0.7222222222222223,1.0,1.0,5,0,0,6
13,2,1,1,0.5555555555555556,1.0,1.0,4,0,0,6
14,2,1,1,0.5555555555555556,1.0,1.0,2,0,0,6
15,3,1,1,0.5,1.0,1.0,5,0,0,6
16,3,1,1,0.5,1.0,1.0,2,0,0,6
17,5,1,1,0.22222222222222227,1.0,1.0,4,0,0,6
18,5,1,1,0.22222222222222227,1.0,1.0,5,0,0,6
19,6,1,1,0.16666666666666669,1.0,1.0,5,0,0,6
20,1,2,1,1.0,0.7222222222222223,1.0,0,5,0,6
21,1,2,1,1.0,0.7222222222222223,1.0,0,1,0,6
22,1,2,1,1.0,0.7222222222222223,1.0,0,1,0,6
23,1,2,1,1.0,0.5555555555555556,1.0,0,4,0,6
24,1,2,1,1.0,0.5555555555555556,1.0,0,2,0,6
25,1,2,1,1.0,0.5,1.0,0,3,0,6
26,1,2,1,1.0,0.5,1.0,0,3,0,6
27,1,3,3,1.0,0.375,0.375,0,3,3,4
28,1,3,3,1.0,0.375,0.375,0,2,2,4
29,1,3,3,1.0,0.375,0.375,0,3,3,4
30,1,3,3,1.0,0.375,0.375,0,2,2,4
